iter	Logloss
0	0.6002664284
1	0.520541924
2	0.4595177987
3	0.4086759401
4	0.3576178883
5	0.323229043
6	0.2886738544
7	0.2605306972
8	0.2322088806
9	0.2114236321
10	0.1941400262
11	0.1779614739
12	0.1642179511
13	0.1524231689
14	0.1403611754
15	0.1321030351
16	0.1268338676
17	0.1210120089
18	0.1154834015
19	0.1071799628
20	0.1017745164
21	0.0976363206
22	0.09321205539
23	0.08871304208
24	0.08389401159
25	0.08075975357
26	0.07740487823
27	0.07460737327
28	0.07128604806
29	0.0684511981
30	0.06441477421
31	0.06167495256
32	0.0604444166
33	0.05813737502
34	0.0557531213
35	0.05336833965
36	0.05188313291
37	0.05019377016
38	0.04886354889
39	0.04747731912
40	0.04577536079
41	0.04427531877
42	0.04283957388
43	0.04153824692
44	0.04056469209
45	0.03861624486
46	0.03750291307
47	0.03648497346
48	0.03494777616
49	0.03419881129
50	0.03292082457
51	0.03181000613
52	0.03089808317
53	0.03000096602
54	0.02938167106
55	0.02863694402
56	0.02781672135
57	0.02713996648
58	0.02629855829
59	0.02562200302
60	0.02517964145
61	0.02492809208
62	0.02437945735
63	0.02378186687
64	0.02337010754
65	0.02273956995
66	0.02199192264
67	0.02157283944
68	0.02118452707
69	0.0207702357
70	0.02019899357
71	0.01975104986
72	0.01949968096
73	0.01923186742
74	0.0188959933
75	0.01868712343
76	0.01829736358
77	0.01799844361
78	0.01780375686
79	0.01750796973
80	0.01723329262
81	0.01709778878
82	0.01680039327
83	0.01664485543
84	0.01644486752
85	0.01593917774
86	0.01571206107
87	0.0154515167
88	0.01522263403
89	0.0148414162
90	0.01452504813
91	0.01432190953
92	0.0141162582
93	0.01380513523
94	0.01362745623
95	0.0134117061
96	0.01316258778
97	0.01295150966
98	0.0128229161
99	0.01263161176
